N,T1/2
97,0.161
98,0.101
99,0.084
95,0.865
96,0.722
97,0.313
98,0.233
99,0.175
100,0.099
94,4.29
95,2.3
96,1.47
97,0.444
98,0.304
99,0.181
100,0.134
101,0.17
98,0.8095
99,0.4945
100,0.439
101,0.215
102,0.31
98,1.49
99,0.725
100,1.05
101,0.63
102,0.43
101,1.25
102,1.43
103,0.98
104,0.8
102,2.53
103,1.285
104,1.33
105,0.2
105,0.75
106,0.375
104,5.13
105,0.96
106,1.235
107,0.76
107,3.2
119,2.2
127,47
129,6
130,64
131,26.4
128,129.72
129,78
130,80
131,34
132,24.4
133,11
134,9.7
135,5.9
136,10.6
137,9.5
146,0.9
